reach_ID,Site,,stream_class,Reach_L,Valley_W
1,Dollar Ridge 4,,P,,
2,Dollar Ridge 4,,P,,
3,Dollar Ridge 4,,P,,
1,Dollar Ridge 5,,P,,
2,Dollar Ridge 5,,P,,
3,Dollar Ridge 5,,P,,
1,Dollar Ridge 2A,,P,,
2,Dollar Ridge 2A,,P,,
3,Dollar Ridge 2A,,P,,
1,Dollar Ridge 1A,,P,,
2,Dollar Ridge 1A,,P,,
3,Dollar Ridge 1A,,P,,
1,Seeley 1,,P,,
2,Seeley 1,,P,,
3,Seeley 1,,P,,
1,Seeley 1A,,P,,
2,Seeley 1A,,P,,
3,Seeley 1A,,P,,
1,Fish Creek 1,,P,170,
2,Fish Creek 1,,P,170,51
3,Fish Creek 1,,P,170,
1,Fish Creek 2,,P,,
2,Fish Creek 2,,P,,
3,Fish Creek 2,,P,,
1,Fish Creek 3,,P,,
2,Fish Creek 3,,P,,
3,Fish Creek 3,,P,,
1,Fish Creek 4 ,,P,,
2,Fish Creek 4 ,,P,,
3,Fish Creek 4 ,,P,,
1,Fish Creek 5 ,,P,,
2,Fish Creek 5 ,,P,,
3,Fish Creek 5 ,,P,,
1,Fish Creek 7,,P,,
2,Fish Creek 7,,P,,
3,Fish Creek 7,,P,,
1,Shingle Creek 1A,,P,,
2,Shingle Creek 1A,,P,,
3,Shingle Creek 1A,,P,,
1,Shingle Creek 2,,P,,
2,Shingle Creek 2,,P,,
3,Shingle Creek 2,,P,,
1,Shingle 1A,,P,,
2,Shingle 1A,,P,,
3,Shingle 1A,,P,,
1,Shingle 2A,,I,,
2,Shingle 2A,,I,,
3,Shingle 2A,,I,,
1,Brian Head 2,,P,,
2,Brian Head 2,,P,,
3,Brian Head 2,,P,,
1,Brian Head 5A,,P,,
2,Brian Head 5A,,P,,
3,Brian Head 5A,,P,,
1,Trail Mountain 1,,P,,
2,Trail Mountain 1,,P,,
3,Trail Mountain 1,,P,,
1,Trail Mountain 2A,,P,,
2,Trail Mountain 2A,,P,,
3,Trail Mountain 2A,,P,,
1,Lake Fork 1,,P,,
2,Lake Fork 1,,P,,
3,Lake Fork 1,,P,,
1,Lake Fork 1A,,P,,
2,Lake Fork 1A,,P,,
3,Lake Fork 1A,,P,,
1,POCR Blind Canyon 1,,P,,
2,POCR Blind Canyon 1,,P,,
3,POCR Blind Canyon 1,,P,,
1,Clay Springs 1A,,P,,
2,Clay Springs 1A,,P,,
3,Clay Springs 1A,,P,,
1,Clay Springs 2A,,P,,
2,Clay Springs 2A,,P,,
3,Clay Springs 2A,,P,,
1,Clay Springs 3A,,P,,
2,Clay Springs 3A,,P,,
3,Clay Springs 3A,,P,,
