USC00420168,38.2486,-111.9608,1953.8,UT,ANGLE,,15,-7,19810701-20210201,88.00%,20010417-20210201,82.70%,20110311-20210201,87.20%
USC00420336,38.6163,-109.6191,1247.5,UT,ARCHES NP HQS,,15,-7,19800701-20210118,89.60%,20001009-20210118,86.40%,20101129-20210118,98.40%
USC00420522,38.2798,-112.5682,1975.1,UT,BEAVER 4 E,,15,-7,19790801-20210201,82.60%,20000502-20210201,84.80%,20100917-20210201,98.10%
USC00420738,37.6132,-109.4848,1839.5,UT,BLANDING,,15,-7,19840101-20210120,95.30%,20020712-20210120,97.40%,20111016-20210120,99.10%
USC00420820,40.8547,-111.8902,1383.8,UT,BOUNTIFUL-VAL VERDA,,15,-7,19840101-20140722,78.00%,19990412-20140722,88.50%,20061201-20140722,87.70%
USC00421003,37.6184,-112.1738,2482.6,UT,BRYCE CANYON NP FPRE,,15,-7,20190625-20210202,99.90%,20200414-20210202,99.50%,20200908-20210202,99.00%
USC00421008,37.641,-112.1702,2404.9,UT,BRYCE CANYON NP HQRS,,15,-7,19710501-20190903,87.30%,19950702-20190903,82.00%,20070802-20190903,92.70%
USC00421162,37.6661,-113.5423,1634.6,UT,CANYON BREEZE RANCH,,15,-7,20100901-20130303,87.60%,20111202-20130303,75.40%,20120717-20130303,64.00%
USC00421260,37.6565,-112.9918,1970.5,UT,CEDAR CITY 5E,,15,-7,19840401-20210201,94.00%,20020901-20210201,96.10%,20111117-20210201,97.40%
USC00421308,37.7158,-109.0827,2060.4,UT,CEDAR POINT,,15,-7,19740709-20180301,84.40%,19960504-20180301,77.90%,20070402-20180301,88.40%
USC00421590,40.9383,-111.1472,1984.2,UT,COALVILLE 13 E,,15,-7,19741126-20171018,89.30%,19960507-20171018,87.50%,20070127-20171018,88.00%
USC00421759,40.6189,-111.7836,1519.7,UT,COTTONWOOD WEIR,,15,-7,19710501-20210201,87.10%,19960317-20210201,80.30%,20080824-20210201,88.70%
USW00023162,39.3833,-112.5167,1450.5,UT,DELTA,,15,-7,19801101-20210215,93.20%,20001224-20210215,89.90%,20110120-20210215,88.50%
USC00422256,37.5255,-112.6625,2560.6,UT,DUCK CREEK VILLAGE,,15,-7,19780918-20201228,90.50%,19991108-20201228,89.10%,20100603-20201228,83.50%
USC00422385,40.9655,-111.4336,1667.3,UT,ECHO DAM,,15,-7,19710501-20210201,97.00%,19960317-20210201,96.50%,20080824-20210201,98.20%
USC00422578,39.3583,-111.5985,1675.8,UT,EPHRAIM,,15,-7,19760501-20210201,97.00%,19980916-20210201,98.00%,20091124-20210201,98.40%
USC00422696,40.2623,-112.0897,1487.4,UT,FAIRFIELD,,15,-7,19710501-20210224,93.80%,19960328-20210224,91.40%,20080910-20210224,90.10%
USC00422726,41.0203,-111.9328,1335,UT,FARMINGTON 3 NW,,15,-7,20011101-20210218,87.60%,20110626-20210218,97.70%,20160422-20210218,99.90%
USC00423348,40.602,-112.5076,1386.8,UT,GRANTSVILLE 2W,,15,-7,19710501-20210201,90.60%,19960317-20210201,86.40%,20080824-20210201,86.40%
USW00023170,38.4167,-110.7,1360,UT,HANKSVILLE FAA AP,,15,-7,19801001-20121102,89.00%,19961017-20121102,82.50%,20041025-20121102,81.30%
USC00425186,41.7456,-111.8033,1460,UT,LOGAN UTAH ST U,,15,-7,19710501-20210217,91.90%,19960325-20210217,87.90%,20080905-20210217,99.10%
USC00425194,41.6661,-111.8913,1367.9,UT,LOGAN 5 SW EXP FARM,,15,-7,19840101-20210217,83.40%,20020726-20210217,91.20%,20111106-20210217,97.30%
USC00425477,38.4492,-112.224,1781.6,UT,MARYSVALE,,15,-7,19710726-20210104,95.70%,19960415-20210104,93.10%,20080825-20210104,92.40%
USC00425892,40.7485,-111.7232,1652,UT,MOUNTAIN DELL DAM,,15,-7,19710601-20210201,88.00%,19960401-20210201,86.10%,20080901-20210201,85.80%
USC00426127,40.5357,-110.0642,2110.4,UT,NEOLA 8 N,,15,-7,19720201-20210209,88.80%,19960806-20210209,87.80%,20081107-20210209,95.40%
USC00426135,39.712,-111.832,1568.5,UT,NEPHI,,15,-7,19711001-20210201,95.10%,19960601-20210201,93.10%,20081001-20210201,97.80%
USC00426374,40.7393,-111.2415,2014.7,UT,OAKLEY 3 NE,,15,-7,19710501-20210223,91.20%,19960328-20210223,91.50%,20080910-20210223,98.30%
USC00426414,41.2319,-112.0283,1304.5,UT,OGDEN SUGAR FACTORY,,15,-7,19710501-20210218,95.60%,19960325-20210218,98.50%,20080906-20210218,99.20%
USC00426455,40.3158,-111.6542,1472.2,UT,OLMSTEAD PH,,15,-7,19770214-20210201,83.40%,19990208-20210201,77.30%,20100204-20210201,93.00%
USC00426757,41.4489,-112.0369,1328.9,UT,PERRY,,15,-7,19871205-20210117,73.20%,20040626-20210117,67.40%,20121006-20210117,79.90%
USC00426938,41.874,-112.1487,1362.5,UT,PLYMOUTH,,15,-7,19710201-20210201,89.40%,19960201-20210201,82.50%,20080802-20210201,75.80%
USC00427026,39.5989,-110.8189,1690.1,UT,PRICE BLM,,15,-7,19710501-20210220,91.70%,19960326-20210220,91.20%,20080907-20210220,89.90%
USC00427064,40.2458,-111.6508,1392.9,UT,PROVO BYU,,15,-7,19840101-20210201,84.60%,20020718-20210201,96.70%,20111025-20210201,98.90%
USC00427260,38.7617,-112.0777,1610.9,UT,RICHFIELD RADIO KSVC,,15,-7,19710501-20210225,87.30%,19960329-20210225,85.40%,20080911-20210225,91.00%
USC00427395,40.2878,-109.9586,1528.3,UT,ROOSEVELT RADIO,,15,-7,19801101-20210106,85.60%,20001204-20210106,82.20%,20101221-20210106,99.90%
USC00427516,37.119,-113.6068,870.8,UT,ST. GEORGE,,15,-7,19710501-20130106,83.60%,19920304-20130106,73.70%,20020805-20130106,61.00%
USC00427686,39.9578,-111.7794,1572.8,UT,SANTAQUIN CHLORINATOR,,15,-7,20050101-20210201,89.30%,20130116-20210201,99.90%,20170124-20210201,99.90%
USC00427729,39.6842,-111.2055,2650.8,UT,SCOFIELD-SKYLINE MINE,,15,-7,19860602-20210203,92.40%,20031003-20210203,93.70%,20120603-20210203,99.70%
USC00427959,39.9292,-111.0794,2283,UT,SOLDIER SUMMIT,,15,-7,19710501-20201211,84.90%,19960220-20201211,87.10%,20080716-20201211,96.00%
USC00428371,40.2411,-111.1527,2328.7,UT,STRAWBERRY HIGHWAY STATION,,15,-7,19830701-20210208,84.40%,20020420-20210208,83.10%,20110914-20210208,98.30%
USC00428705,38.9523,-109.6866,1547.5,UT,THOMPSON WELCOME CENTER,,15,-7,20200920-20210301,97.00%,20201210-20210301,93.30%,20210119-20210301,91.00%
USC00428733,40.4421,-111.7134,1679.4,UT,TIMPANOGOS CAVE,,15,-7,20070401-20210218,87.70%,20140311-20210218,99.90%,20170830-20210218,99.90%
USC00429717,37.2091,-112.9814,1230.8,UT,ZION NATIONAL PARK,,15,-7,19781001-20201231,86.20%,19991116-20201231,79.80%,20100609-20201231,79.00%
